name,room_type,price,minimum_nights,number_of_reviews
2 bedroom townhouse in Georgetown,Entire home/apt,325,2,49
Room in charming historical house!,Private room,85,1,56
Top Two Floors in Historic House  - Thru Mid Oct,Entire home/apt,179,6,0
Cozy Studio in DuPont Circle  DC,Entire home/apt,175,3,17
Attractive 2 Twin Beds Near Capitol,Private room,61,2,449
 Charming English Basement ,Entire home/apt,95,4,44
Location! Charming 1BR in hottest  part of DC,Entire home/apt,86,2,142
This Charming Flat on the Hill,Entire home/apt,145,1,175
The Urban Sanctuary - Professionally Cleaned!,Entire home/apt,116,1,199
Comfy 1 br apt near H St & The Hill,Entire home/apt,60,2,291
2 BD / 2.5 BA in Great Location,Entire home/apt,260,2,93
Cozy Up at a Homey  Colorful Dupont Circle Retreat O,Entire home/apt,123,1,296
Spacious and Convenient in NW DC,Entire home/apt,700,2,8
Furnished Room In Columbia Heights,Private room,35,30,23
Basement bedroom in Georgetown!,Private room,60,14,5
Classic DC Rowhome,Entire home/apt,199,1,26
Capitol Hill luxury English basment,Entire home/apt,126,2,437
Stay in style  walk to metro,Entire home/apt,79,1,391
3 bed Rowhouse in Hip Neighborhood,Entire home/apt,500,3,137
Charming Dupont Circle Rowhome (2),Entire home/apt,139,2,3
BEAUTIFUL Bed & Bath - Capitol Hill,Private room,195,3,3
Penthouse Loft @ Convention Center 6 & M NW [HGTV],Entire home/apt,238,2,108
Georgetown Townhouse with 2 car parking & patio !,Entire home/apt,879,2,57
Gorgeous on Capitol Hill  Metro!,Private room,89,4,40
Sunny 1st floor Apt - Pet friendly  free parking,Entire home/apt,115,2,22
Spacious one Bdrm apt in Victorian,Entire home/apt,69,1,44
Spacious and Sunny in the City,Entire home/apt,85,3,380
Luxury 1BR Loft - Walk 2 Metro  Convention Center,Entire home/apt,199,2,48
Charming furnished studio - metro,Entire home/apt,80,4,68
Charming English Bsmt Apt- 2 bedroom w/parking,Entire home/apt,98,1,245
Comfortable Studio Apartment,Entire home/apt,75,2,167
Comfortable  quiet apartment,Entire home/apt,150,10,6
Clean and separate living in Capitol Hill,Entire home/apt,90,10,110
Gorgeous City Center Condo-Walk to Everything!,Entire home/apt,300,3,152
Cozy Base w/Family  10-min Walk from Union Station,Private room,85,2,167
Charming Studio Apartment,Entire home/apt,81,2,163
Bed/Bath near Union Station,Private room,88,30,92
2 Master Suites ea w/baths near Metro free parking,Entire home/apt,170,14,179
Cozy U St. Studio Near Everything,Entire home/apt,89,2,113
Private Bedroom and  Bath -  Memorial Day Weekend,Private room,85,1,0
Modern Basement Apt w/ Pvt Entry,Entire home/apt,89,3,101
Small Room w/Full size bed,Private room,45,1,2
Comfortably Couch,Shared room,60,7,0
1BR Capitol Hill Apt Next to Metro,Entire home/apt,62,1,233
Fully Furnished All Inclusive Room,Private room,65,3,12
Private room + bath in Mt. Pleasant,Private room,78,6,25
Cozy room 20 seconds walk to the Petworth metro,Private room,39,28,8
Lovely Room next to the petworth Metro station,Private room,35,28,8
Capitol Hill Private Suite,Private room,115,30,4
Top Rated DC airbnb,Entire home/apt,150,2,165
1 BR 1BA 5 min  to Georgetown U,Entire home/apt,164,2,9
CAPITOL HILL DELIGHT! LINCOLN PARK,Entire home/apt,120,30,60
1 BR Zen Penthouse,Entire home/apt,152,2,178
Cozy Private Room with Parking,Private room,53,1,5
Large room at Chevy Chase  NW DC,Private room,57,1,21
Private Bed & Bath - All Inclusive,Private room,69,1,3
Ideal Double Occupancy Room,Private room,65,1,6
Open Style Shared 3 Walls & Divider,Shared room,54,2,4
Beautiful Super Large Bedroom,Private room,65,1,17
Beautiful 1BR Spacious Apartment,Entire home/apt,130,3,39
Newly renovated attic bedroom,Private room,60,1,14
Modern Georgetown retreat with spa-like bathroom,Entire home/apt,99,2,96
Serene room in beautiful Crestwood,Private room,125,2,21
Patio with Wonderful Apartment!,Entire home/apt,145,7,149
Shared Apt (Private Room for guest),Private room,58,7,4
Shared space-Futon in Living Room,Shared room,51,7,0
New apartment in historic row home,Entire home/apt,151,3,73
Convention Center Blagden Alley,Entire home/apt,119,3,81
Quiet Block in the Middle of It All - Patio! 🔔,Entire home/apt,165,30,37
Light Filled 1 bedroom in Columbia Heights 14thSt,Entire home/apt,250,6,9
Studio:FREE Parking  walk 2metro  nearCapital Hill,Entire home/apt,60,3,18
Hidden Gem  Quick Access Downtown!,Entire home/apt,275,15,9
SW Waterfront/Wharf: Stunning Modern DC Condo,Entire home/apt,189,90,35
Garden Suite Efficiency,Entire home/apt,115,1,565
Upscale Kalorama Private Balcony+Driveway Opt!,Entire home/apt,116,2,27
Georgetown English Basement Apt.,Entire home/apt,179,3,78
Enjoy our Nation’s Capitol STEPS from the Capitol!,Entire home/apt,120,1,7
Mario's Retro Hideaway,Entire home/apt,109,2,179
Sunny  Airy Room at Dawn's House,Private room,100,1,22
Large sunny room at Dawn's House,Private room,120,1,27
Spacious  Sunny 1BR near Metro &Zoo,Entire home/apt,102,25,17
Sunny Room at Dawn's House,Private room,80,1,18
Private Suite in Columbia Heights,Entire home/apt,100,2,72
Metropolitan Oasis  Whole Enchilada,Entire home/apt,180,2,36
New 1br in Petworth  parking and yard.,Entire home/apt,60,6,8
Capitol Hill 2-BD/1.5-BA - Prime location!,Entire home/apt,139,3,359
Mount Pleasant Rowhome - Built 1895,Entire home/apt,185,6,5
Cheerful English Basement w Garden,Entire home/apt,135,5,61
COZY APT TO ISOLATEIN DUPONT CIRCLE OFF 18 St  NW ,Entire home/apt,123,3,275
Warm One Bedroom - Columbia Heights,Entire home/apt,80,30,0
Walk to Washington Hospital Center and Howard U,Entire home/apt,53,4,76
Lux 1 Bedroom near White House w/wifi,Entire home/apt,165,21,3
Comfy Home Close to Metro with Parking!,Entire home/apt,78,5,248
Charming Columbia Heights Rowhouse,Private room,85,1,6
Dupont Circle Townhouse 2,Private room,66,1,15
06. Just the perfect room in SW DC,Private room,60,1,349
Front Suite(1BD/1BA) *Convention Center/DT/Metro,Private room,63,2,233
DC Foggy Bottom Iconic Rowhouse,Entire home/apt,400,6,99
Space and convenience in Wash DC,Entire home/apt,750,7,4
Dupont 1BR. Spacious & Stylish.,Entire home/apt,120,3,430
Private BR Shared Bath Sunny TH - A,Private room,65,1,19
By Capital One Center  Portrait Gallery  Mall,Entire home/apt,80,14,14
800 Sq Ft & Close to Down Town and,Private room,100,1,79
Brand New Apt in Historic Row House,Entire home/apt,121,2,309
DC Sunny Logan Cir 1BR Free Parking,Entire home/apt,139,3,26
Spectacular 3BD/3BA (no kitchen/living room),Entire home/apt,259,2,28
1 BD apartment in Georgetown,Entire home/apt,145,3,142
Private room & bathroom in beautiful DC,Private room,90,1,26
Dupont Circle Townhouse 4s,Private room,67,1,16
Private 1br Apt. Steps to Capitol  Restaurants etc,Entire home/apt,250,7,300
The Jefferson Travel House,Entire home/apt,215,1,6
Dupont Circle penthouse loft,Entire home/apt,95,9,39
Modern Dupont 1 bdrm apt in historic home,Entire home/apt,125,2,190
Cozy Urban Living,Entire home/apt,500,3,4
Woodley Park Guest House: Queen Room + Breakfast,Private room,230,2,18
Spacious one bedroom in Georgetown (30th St),Entire home/apt,172,1,87
Dupont Circle Townhouse 5,Private room,95,1,17
3 bed/2 ba Gtown Rowhouse W/HotTub!,Entire home/apt,854,28,1
In DC Private Studio Apartment,Entire home/apt,49,1,160
Historic Row House Suite,Entire home/apt,163,2,330
Furnished Private Room #4 near Convention center,Private room,99,2,149
Studio in heart of Georgetown (30th St),Hotel room,154,1,109
Little Loft in the Big City,Private room,65,4,38
Lux 1 Bedroom near White House w/wifi,Entire home/apt,165,15,8
On the Park!,Private room,185,30,10
NOW AVAILABLE Furnished DuPont Studio,Entire home/apt,100,360,51
Luxury Gtown 2 bed 2 bath  1400+sqf,Entire home/apt,180,60,1
Charming 4 Rm DC Apt  Free Parking  No Extra Fees,Entire home/apt,89,2,120
Sweet Suite,Entire home/apt,75,4,51
Cozy room in historic row house,Private room,60,1,98
Cozy room on Capital Hill,Private room,85,1,113
1 BR in 2 BR sunny condo at Adams,Private room,200,3,11
Large Victorian Mini Mansion,Entire home/apt,1550,3,25
Large charming DC English basement,Entire home/apt,135,2,29
Stylish  Sun-filled & Spacious 1BD,Entire home/apt,142,2,49
Union Market Penthouse Apartment,Entire home/apt,141,1,434
Sunny English Basement on the Hill,Entire home/apt,120,2,255
Capitol Hill House / H St. Corridor,Entire home/apt,240,3,116
Tourist/Work Trip Hideaway | MONTHLY RATES AVAIL!,Entire home/apt,192,30,49
GREAT SOCIAL DISTANCING Charming Tiny House Hideaway  - Private Backyard  Three Blocks to Capitol  Exposed Brick Walls  Tons of Charm,Entire home/apt,145,30,23
Private Entrance & Kitchenette - Takoma  DC,Entire home/apt,63,2,80
Elegant  Affordable Urban Luxury,Entire home/apt,114,2,301
