name,room_type,price,minimum_nights,number_of_reviews
Private Room  New Renovation  Central Location,Private room,100,90,15
Spacious one queen bedroom with parking(with fee),Private room,85,1,110
A floor all to yourself in our historic home,Private room,119,3,118
Big and Luminous Apartment at Cambridge Port,Entire home/apt,150,91,24
Comfortable Cloud  Close to Everything... (3S),Private room,63,3,279
Cambridge in Harvard Square - a spacious home.,Entire home/apt,350,2,74
One Bedroom Short Walk to Harvard (Rm 5),Private room,103,1,3
LARGE quiet original Victorian 1BR 5min to Davis,Entire home/apt,175,91,0
Convenient & Comfortable (3K),Private room,100,2,232
Cozy  Renovated Abode Between Harvard & MIT,Entire home/apt,99,91,75
2# Minutes to Boston -Basic Bedroom,Private room,68,91,105
9# Minutes to Boston -Basic Bedroom,Private room,68,91,109
Cambridge Basement Apartment over 90 day rental,Entire home/apt,125,91,41
Private room for 2 close to Harvard/MIT,Private room,175,2,9
West Cambridge 1 BR entire apartment near Harvard,Entire home/apt,156,28,24
A Large Sunny Room in a 2BD apartment (2B),Private room,150,1,146
Private  quiet and clean studio in ideal location,Private room,119,1,282
2 Bed 2 Bath in Kendall Square,Entire home/apt,469,1,2
Cozy Bedroom in a 2BD Apartment. (2K),Private room,100,1,326
2020 Grad Student or Professor!,Private room,85,3,11
Spacious 1 Bedroom w/ Free Parking Near MIT,Entire home/apt,300,21,23
Sunny  quiet Cambridge apartment near Davis Sq,Entire home/apt,67,4,148
Penthouse Room With Private Entrance,Entire home/apt,108,2,157
Brand New 2BR Den | Full Kitchen |  East Cambridge,Entire home/apt,332,30,0
Long-term Renters Please! Harvard Walkable 1bdr,Entire home/apt,179,91,4
Luxurious - Walkable to Harvard Full 1bdrm + sofa,Entire home/apt,113,91,1
Walk to Harvard/MIT (unit 2) w/ parking,Entire home/apt,300,2,125
^10min walk-Harvard  Suite-like/private entry/3fl,Private room,79,2,77
Contemporary 2BR in Central Sq! Harvard/MIT,Entire home/apt,235,2,118
Harvard/MIT 2 Bed 2 Bath luxury apartment,Entire home/apt,165,91,5
Cambridge  convenient location,Private room,50,2,202
WALK to HARVARD&MIT with MEMORY BED 1,Private room,61,1,120
WALK to HARVARD&MIT with MEMORY BED 2,Private room,61,1,135
WALK to HARVARD&MIT with MEMORY BED 4,Private room,55,1,262
WALK to HARVARD&MIT with MEMORY BED 6,Private room,61,1,291
Private room in Harvard square 3  good to sleep,Private room,30,30,4
*New Construction Luxury Kendall Square Townhouse*,Entire home/apt,800,91,0
WALK to HARVARD&MIT with MEMORY BED 5,Private room,55,1,174
3A *REDUCED*! HARVARD MiT LOCATION! SPOTLESS 1BR,Entire home/apt,110,1,82
Charles River/Harvard Square - free parking,Entire home/apt,103,1,152
Private room in spacious home near Harvard Square,Private room,72,91,14
4B HUGE AMAZING SPOTLESS CAMBRIDGE HARVARD/MiT,Entire home/apt,136,1,71
