name,room_type,price,minimum_nights,number_of_reviews
Large Beautiful Clean Craftsman House Rental,Entire home/apt,457,2,93
Eastside  Clean  Convenient & Cozy,Entire home/apt,65,30,119
2 Bedroom Apt for CMA Fest,Entire home/apt,250,1,0
KenJi Retreat,Entire home/apt,99,3,118
UPsTaIrS apt- great location!,Entire home/apt,81,1,348
Downtown Nashville  Music City Downtown Hideaway! ,Entire home/apt,259,3,31
Gorgeous Home in Nashville’s Best Neighborhood,Entire home/apt,500,2,11
CONDO IN THE HEART OF GREEN HILLS,Entire home/apt,700,1,0
River home in park like setting.,Private room,90,1,177
Condo in Brentwood  TN,Entire home/apt,63,1,4
Huge Home  Private Pool  Hot tub  Fire Pit!,Entire home/apt,354,3,92
Eclectic East Nashville Cottage,Entire home/apt,80,4,282
Luxurious Downtown-2 bed 2 bath Corner unit #204,Entire home/apt,234,2,50
Nashville Downtown House w Roof Deck! HAWKINS VIEW,Entire home/apt,407,2,18
Luxe Nashville Townhouse  Great Location,Entire home/apt,175,30,84
Downtown w Rooftop Deck  4 Bedrooms/3.5 Baths!,Entire home/apt,406,2,32
Cozy Bedroom near Nissan Stadium,Private room,225,1,12
The Highland House East Nashville!,Entire home/apt,78,3,210
Plenty of Space  Private Entrance,Entire home/apt,85,1,370
"Five Points Queen Victoria
Eastside perfect locale",Entire home/apt,600,30,4
East Nashville Guesthouse with a Relaxed Style,Entire home/apt,101,1,289
DOUBLE DECKER 3-STORY HOME ★ 5 MINS TO BROADWAY!,Entire home/apt,290,2,134
East Nashville guesthouse,Entire home/apt,151,2,156
Cute Nashville apartment!,Entire home/apt,48,30,320
Eclectic Nashville Retreat- Central Location!,Entire home/apt,138,2,209
Famous “Music City House of Fame” Ideal for groups,Entire home/apt,176,3,43
Private Apartment in beautiful Home,Entire home/apt,75,1,469
Private | Modern | 3bd w/ loft | Sleeps 10,Entire home/apt,218,1,176
Grand Ole Opry  Stunning 2 Bedrooms - A+ Amenities,Entire home/apt,239,2,49
Style  comfort  and location!,Entire home/apt,299,2,35
Hip  Cozy Cottage with a Fire Pit in Cleveland Park,Entire home/apt,167,2,296
10th Ave Lush Brownstone with Skyline Views & Rooftop Patio,Entire home/apt,243,2,177
Prime Location Riverfront Condo Downtown,Entire home/apt,119,1,168
Luxury  furnished East Nash Home - LT 30 Days+,Entire home/apt,475,30,16
807 18th Ave S - Demonbruen,Entire home/apt,400,3,0
Beautiful River Retreat Studio Apt,Entire home/apt,108,2,268
Beautiful River Retreat in Nashvillle / Retreat,Entire home/apt,199,3,58
Craftsman in East Nashville  a Fixer Upper!,Private room,100,3,122
SURROUNDED BY DOZENS OF MIDTOWN BARS ON BROADWAY!,Entire home/apt,75,1,436
Large Studio w/ Washer  Dryer  Gas Range  Vintage,Entire home/apt,75,30,48
Southern Charm on the East Side! Pets are welcome,Entire home/apt,189,1,120
12 South Perfect for Large Groups!,Entire home/apt,599,1,106
Long Term Rent Only/Close to Attractions! ONE PERS,Private room,30,30,127
3 Bedroom home / quiet area / near airport & Opry,Entire home/apt,99,3,5
➕Airy  Chic & Cozy Loft➕East LOCAL=Close 2 it all!,Entire home/apt,139,2,124
Take it Easy at a Restored 1940s Tudor in Hip East Nashville,Entire home/apt,166,1,116
Charming Guest Suite in an Elegant Home with a Pool,Private room,115,2,76
Tranquil Studio Flat in Donelson,Entire home/apt,100,2,111
CMA Fest - minutes from downtown,Entire home/apt,200,1,0
Luxury 2 bedroom 2 bathroom Gulch Apartment,Entire home/apt,391,2,28
Cumberland Cottage,Entire home/apt,239,2,16
RiverHaven,Private room,100,1,21
Eat  Drink  Music. Live Like a Local at the Modern Farmhouse,Entire home/apt,127,2,234
Lovely house by West End 10min to downtown  VU,Entire home/apt,146,3,151
Historic Cottage Near Downtown,Entire home/apt,100,2,19
Cozy home convenient to everything!,Entire home/apt,150,2,119
Affordable East Nashville Room,Private room,59,1,6
Close to Downtown (Furry friends welcome),Entire home/apt,167,2,257
Downtown Nashville large home  Skyline view!,Entire home/apt,263,2,118
Privacy & Separate Entry / Walk 2 Belmont / Vandy,Private room,125,2,158
Luxury Apartment- Vandy Stadium,Entire home/apt,229,2,36
The Crow's Nest  1 BR with Home Office and Wifi,Entire home/apt,85,2,289
Nashville - Amazing 2 BR Opry  Music  Family Fun,Entire home/apt,170,2,42
Townhome in Salemtown,Entire home/apt,200,4,1
Nashville escape min. from downtown,Entire home/apt,200,2,2
Freshly remodeled 1949 Cottage,Entire home/apt,144,3,101
Music City Suite w/ private entrance + bathroom,Private room,200,1,86
EastsideCentral-heart of Nashville,Entire home/apt,158,2,233
The Nash Villa,Entire home/apt,158,2,102
4BR in the Heart of 12th South,Entire home/apt,676,1,30
In the heart of historic East Nashville,Entire home/apt,129,1,68
Riverview ~ Free parking ~ walk to broadway.,Entire home/apt,139,2,194
'Prince Bell' 1930 Bungalow Walk to 12th South,Entire home/apt,489,2,19
East Nashville modern home,Private room,59,1,418
Sylvan LongStay GuestHouse - Cozy & Comfortable,Entire home/apt,60,30,67
Serene Private Studio Apartment,Entire home/apt,72,31,70
Scenic Sunny Private Studio Apartment,Entire home/apt,67,30,153
Great 5 Star downtown location!!!,Entire home/apt,80,1,330
★ Overlook Music City ★ 3 br/ SLEEPS 10 ★,Entire home/apt,187,2,164
5* Cutie Has It All! Just Bring Family & Friends!,Entire home/apt,126,2,181
VillaHaus-2BRw/OfficeSpace-MusicRow/Belmont/Vandy,Entire home/apt,143,1,245
Licensed  5 min downtown Spacious  4 beds 3.5baths,Entire home/apt,413,2,81
Upstairs Loft Next Door to the Nations!,Private room,52,1,522
Relax on the Deck at an Airy Midtown Oasis,Entire home/apt,126,2,283
30+ Day Twnhm w 3 Floors (4 Bds 3.5 Bths Slps 12),Private room,110,30,2
Huge Luxury Home Belmont/12S Walkable Screen Porch,Entire home/apt,872,1,30
Comfy Quiet Hideaway,Entire home/apt,128,1,89
Private room. Downtown.,Private room,75,1,433
Large Bungalow in East Nashville,Entire home/apt,339,2,186
The Donelson Suite - Opryland,Private room,49,1,198
House of Welcomes,Private room,55,1,309
Beautiful Home w/ Pool,Private room,45,2,2
Downtown & East Nashville Bungalow,Entire home/apt,149,1,313
4 BRs+Studio+5 Private Baths! 40% OFF SUMMER RATES,Entire home/apt,1195,3,8
Historic East Nashville Cottage,Entire home/apt,264,2,19
Poplar Hollow Farmhouse,Entire home/apt,98,1,122
Perfect Spot in Downtown Nashville,Entire home/apt,250,1,17
Mediterranean Oasis and Heated Pool,Entire home/apt,1888,2,4
Long Term Rental/Artsy Cozy Bedroom ONE PERSON,Private room,32,30,148
Idlewild: Long-Stay Rental in East Nashville,Entire home/apt,98,30,10
Comfortable Home  Great for Get-Aways!,Entire home/apt,154,2,268
Private basement apartment winter special!,Entire home/apt,32,30,88
Apartment walking distance to Vandy,Entire home/apt,80,30,133
Charming 12 South Studio,Entire home/apt,85,1,188
Private Grand Ole Opry Nashville Apartment,Entire home/apt,97,1,136
